counter question1 question2 proximity
654 7430261 995918 0.982996108105049
655 18119899 2817752 0.7853754585868443
656 11488182 109383 0.6599171781123556
657 2971766 309023 0.7675428182813897
658 30754166 22017480 0.6352969448505618
659 4727424 2699209 0.9719732235410299
660 104854 3566146 0.9565151635625649
661 28317420 869033 0.8911860431869254
662 33881652 1457863 0.45461918871664214
663 24158650 16347252 0.9922610209822029
664 18993693 513832 0.07896201770902506
665 27870829 218384 9.128173935330611E-4
666 8484668 513832 0.16346746994287278
667 4177047 1030302 0.9549287071573469
668 7559645 5372855 0.8228593031249144
670 16429788 2517709 0.9959001802501415
671 12600545 7226538 0.9508071747222882
672 14877230 1501235 0.2139085777190485
673 8478386 4764768 0.7329980903989183
674 13222664 1656945 0.9511467879380003
675 10976615 513832 0.46960627204663896
676 43052407 218384 0.005107799310100549
678 37238642 4826626 0.9871562676839608
679 6772521 2201113 0.6859175712068609
680 35214243 29140402 0.19395799572585412
681 15896097 2835505 0.8793091065418367
682 37458041 2206378 0.9915935268444376
683 43469634 34576468 0.76773722219694
684 41061507 25706216 0.4653818349554446
685 46482508 1393486 0.8701538634198106
686 20860543 1625234 0.9718264400464341
687 21646688 12937641 0.8606570898057789
688 26238275 8591703 0.7197483394247486
690 19548921 13155860 0.6103368990745712
691 31169528 826212 0.9695612208870068
692 40133060 15903077 0.7702130056509584
693 48681988 65035 0.7555946046425972
694 33221202 15126210 0.9416307847867598
695 20964860 19109960 0.9874265714899613
696 47199437 2758612 0.879754351276608
697 24403443 22655567 0.9579363946784262
698 10071065 1947122 0.6207987625904696
699 18082344 2892475 0.8830974089038962
701 32623834 20945049 0.710283439334673
702 9967437 3728062 0.9051792671926481
703 41673016 38092697 0.984031693136978
704 1884889 223918 0.9891625581949044
705 7058394 447898 0.6279155860936795
706 33713203 409784 0.3361503402437277
707 5543216 1091015 0.9032294898969931
708 13902652 7802196 0.47069136705491316
709 29692295 28466925 0.6879535608888923
710 20268262 10705848 0.5985561778152503
711 30603738 3158730 0.8569680453214991
712 19834756 6616332 0.9615692614370407
713 12278323 7065337 0.9611775409410175
714 14005848 7747597 0.6935841234810868
715 18800850 1670862 0.9834331642948592
716 38248502 38016912 0.8953399976743
717 8645674 6027097 0.5077094202910412
718 18226405 8521917 0.8658414146390636
719 11381554 3422673 0.7781808001852798
720 16953897 676097 0.946226286967564
722 19590262 5585779 0.8555234908237639
723 35518169 513832 0.2331663339925992
724 46542896 344748 0.5633193041190152
725 38342010 35559057 0.9567000810085999
726 15578406 15545326 0.7558375548035413
727 33477961 8053095 0.9868848098535163
729 14903145 2279030 0.858677326644233
730 5452490 703150 0.7605494138322832
731 31914989 13077009 0.997792749576604
732 13791495 5216272 0.9579930165384103
733 3526485 453388 0.9997742752766569
734 49818051 5738288 0.9911982317680972
735 45514930 23524231 0.9115000106209565
736 23181306 18351583 0.9586672885338531
737 24980871 11889401 0.7988571075124509
738 48443301 12418334 0.9405134910826924
739 2059543 6772215 0.5912900742892855
740 19095874 415967 0.9771288033782621
741 15734054 13668069 0.9952489663238776
742 15541126 513832 0.7702246946104774
743 37355138 33381252 0.6051996160087947
744 8528803 6120831 0.6066720267303003
745 19346031 2144165 0.9265802138067368
746 17201227 13748124 0.2595256283969709
747 50563303 1967229 0.9448257472971875
748 5561436 2439782 0.9986698933698281
749 1915317 51438 0.6219433829123813
750 16982056 212321 0.9768005418596951
752 31782325 218384 0.12259553799877575
753 48484110 47625531 0.8204518044900234
754 46220810 46084751 0.9228660067030043
755 4749726 3706306 0.7137462997632363
756 29533072 1336628 0.9432944898356403
757 15798022 19843506 0.25695726400430885
758 14403297 3988148 0.3922058960626812
759 11640792 5104094 0.9608396759079516
760 7097275 7367714 0.9854053148152501
761 14272563 703396 0.8396780883179014
762 21705859 3263741 0.8970817392181738
763 16211815 12024095 0.9940602401791782
764 36118832 22561614 0.7471925574554877
765 11675439 2793150 0.9340433263737767
766 36937033 2632882 0.8107657294206948
767 40817062 4131092 0.9612744637616785
768 34047712 22823395 0.9509470437011908
769 47291293 38958600 0.6837583001183402
770 48003804 1755199 0.9688966699091197
771 24200197 8352378 0.9234481904192821
772 11593759 5464330 0.9185571574106091
773 21180170 2255500 0.6101638853999736
774 40880006 1467913 0.8222641319423005
775 12133530 2745265 0.541879102419399
776 15216438 156503 0.979644421089949
777 36950970 2393179 0.7537935074782414
778 29874672 4044726 0.4987072802534622
779 15114674 1617458 0.9059701192927262
780 16432477 279507 0.7380145347222505
781 29811957 3342517 0.6674694320010568
782 19047862 1545501 0.9868509950120824
783 19259508 18360891 0.6449640047111449
784 2352447 643906 0.979418563755939
785 50360756 1386275 0.8992724112803998
786 17565987 285793 0.8890137235762713
787 20557762 2927391 0.9122273592202516
788 25784417 19998309 0.9538544392465443
